A		RSMGL_SD	RSMGL_SD	RSMGL_SD	RSMGL_SD	RSMGL_SD
B		S12A	S12B	S12C	S12D	S333
C		FLOW	FLOW	FLOW	FLOW	FLOW
E						
F		SIMULATED	SIMULATED	SIMULATED	SIMULATED	SIMULATED
Units		FT^3/S	FT^3/S	FT^3/S	FT^3/S	FT^3/S
Type		PER-AVER	PER-AVER	PER-AVER	PER-AVER	PER-AVER
1	01Jan1965	0.0	0.0	0.0	1004.6	1350.0
2	02Jan1965	0.0	0.0	0.0	0.0	1316.8
3	03Jan1965	0.0	0.0	0.0	0.0	1316.8
4	04Jan1965	0.0	0.0	0.0	0.0	1316.8
5	05Jan1965	0.0	0.0	0.0	0.0	1316.8
6	06Jan1965	0.0	0.0	0.0	0.0	1316.8
7	07Jan1965	0.0	0.0	0.0	0.0	1316.8
8	08Jan1965	0.0	0.0	0.0	0.0	1316.8
9	09Jan1965	0.0	0.0	0.0	48.5	1350.0
10	10Jan1965	0.0	0.0	0.0	48.5	1350.0
11	11Jan1965	0.0	0.0	0.0	48.5	1350.0
12	12Jan1965	0.0	0.0	0.0	48.5	1350.0
13	13Jan1965	0.0	0.0	0.0	48.5	1350.0
14	14Jan1965	0.0	0.0	0.0	48.5	1350.0
15	15Jan1965	0.0	0.0	0.0	48.5	1350.0
16	16Jan1965	0.0	0.0	0.0	0.0	1049.2
17	17Jan1965	0.0	0.0	0.0	0.0	1049.2
18	18Jan1965	0.0	0.0	0.0	0.0	1049.2
19	19Jan1965	0.0	0.0	0.0	0.0	1049.2
20	20Jan1965	0.0	0.0	0.0	0.0	1049.2
21	21Jan1965	0.0	0.0	0.0	0.0	1049.2
22	22Jan1965	0.0	0.0	0.0	0.0	1049.2
23	23Jan1965	0.0	0.0	0.0	0.0	884.6
24	24Jan1965	0.0	0.0	0.0	0.0	884.6
25	25Jan1965	0.0	0.0	0.0	0.0	884.6
26	26Jan1965	0.0	0.0	0.0	0.0	884.6
27	27Jan1965	0.0	0.0	0.0	0.0	884.6
28	28Jan1965	0.0	0.0	0.0	0.0	884.6
29	29Jan1965	0.0	0.0	0.0	0.0	884.6
30	30Jan1965	0.0	0.0	0.0	0.0	698.8
31	31Jan1965	0.0	0.0	0.0	0.0	698.8
32	01Feb1965	0.0	0.0	0.0	0.0	698.8
33	02Feb1965	0.0	0.0	0.0	0.0	698.8
34	03Feb1965	0.0	0.0	0.0	0.0	698.8
35	04Feb1965	0.0	0.0	0.0	0.0	698.8
36	05Feb1965	0.0	0.0	0.0	0.0	698.8
37	06Feb1965	0.0	0.0	0.0	0.0	89.8
38	07Feb1965	0.0	0.0	0.0	0.0	89.8
39	08Feb1965	0.0	0.0	0.0	0.0	89.8
40	09Feb1965	0.0	0.0	0.0	0.0	89.8
41	10Feb1965	0.0	0.0	0.0	0.0	89.8
42	11Feb1965	0.0	0.0	0.0	0.0	89.8
43	12Feb1965	0.0	0.0	0.0	0.0	89.8
44	13Feb1965	0.0	0.0	0.0	0.0	37.0
45	14Feb1965	0.0	0.0	0.0	0.0	37.0
46	15Feb1965	0.0	0.0	0.0	0.0	37.0
47	16Feb1965	0.0	0.0	0.0	0.0	37.0
48	17Feb1965	0.0	0.0	0.0	0.0	37.0
49	18Feb1965	0.0	0.0	0.0	0.0	37.0
50	19Feb1965	0.0	0.0	0.0	0.0	37.0
51	20Feb1965	0.0	0.0	0.0	0.0	95.0
52	21Feb1965	0.0	0.0	0.0	0.0	95.0
53	22Feb1965	0.0	0.0	0.0	0.0	95.0
54	23Feb1965	0.0	0.0	0.0	0.0	95.0
55	24Feb1965	0.0	0.0	0.0	0.0	95.0
56	25Feb1965	0.0	0.0	0.0	0.0	95.0
57	26Feb1965	0.0	0.0	0.0	0.0	95.0
58	27Feb1965	0.0	0.0	0.0	0.0	100.3
59	28Feb1965	0.0	0.0	0.0	0.0	100.3
60	01Mar1965	0.0	0.0	0.0	0.0	100.3
61	02Mar1965	0.0	0.0	0.0	0.0	100.3
