Global index	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	
Structure	(53_30)	(48_32)	(52_28)	(47_35)	(43_32)	(47_28)	(42_25)	(40_29)	(38_32)	(36_32)	(35_30)	(35_28)	(32_28)	(29_28)	(22_26)	(27_23)	(22_21)	(42_18)	(42_25)	(36_16)	(33_20)	(30_16)	(29_21)	(22_16)	(6_20)	(7_25)	(10_23)	(20_22)	(17_19)	(17_26)	(14_17)	(39_25)	(25_18)	"las two columns were added later to improve ENP, WCA3A HMEs"
1/1/1965	0	0	0	0	0	0	0	0.01	0.02	0.07	0.05	0.23	0.14	0.03	0.1	0	0.16	0	0	0.02	0.14	0.01	0.01	0.01	0.06	0.15	0.08	0.13	0.04	0.04	0.02	0.29	0.03	
1/2/1965	0	0	0	0	0	0	0	0	0	0	0.01	0.04	0.03	0.01	0.02	0	0.02	0	0	0	0	0.03	0	0.12	0.08	0.05	0.01	0.02	0.08	0.01	0.13	0.01	0.05	
1/3/1965	0	0	0	0	0	0	0	0	0.04	0.1	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	
1/4/1965	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0.14	0	0	0.01	0	0.09	0	0.08	0	0.07	
1/5/1965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1/6/1965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1/7/1965	0	0	0	0	0	0	0	0	0.01	0.04	0.03	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	
1/8/1965	0	0.01	0	0.02	0	0	0	0	0.01	0.03	0.04	0.05	0.03	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1/9/1965	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1/10/1965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	
