Date,Qo,WCA3A_Stg,NESRS2_Stg,Qi,Rain,PET,Za,Year
1/8/1965,1465.05593,10.33545907,6.637501717,1465.05593,0.136071739,0.8295,10.5,1965
1/15/1965,1386.806466,10.3283275,6.951639652,1465.05593,0.00299058,0.8016,10.45731707,1965
1/22/1965,1099.055527,10.29292615,7.370804787,1386.806466,0.017150362,0.8012,10.41463415,1965
1/29/1965,908.0898308,10.21511682,7.40975666,1099.055527,0.06297971,0.8839,10.37195122,1965
2/5/1965,725.3151642,10.11605485,7.374436378,908.0898308,0.306888043,0.881,10.32926829,1965
2/12/1965,176.7622795,10.04030387,7.439473629,725.3151642,1.034158696,0.8537,10.28658537,1965
2/19/1965,44.50325886,10.00770823,7.465657234,176.7622795,0.121647826,1.0155,10.24292453,1965
2/26/1965,86.74364104,9.921225866,7.300203323,44.50325886,1.552125,0.812,10.19339623,1965
3/5/1965,99.56661218,9.945544243,7.305438995,86.74364104,0.74745,0.9694,10.14386792,1965
3/12/1965,104.8466578,9.939078331,7.33864212,99.56661218,0.001389855,1.0701,10.09433962,1965
3/19/1965,87.49793,9.835256259,7.201282978,104.8466578,0.085829348,0.9904,10.04481132,1965
3/26/1965,101.3109098,9.749869029,7.06867218,87.49793,0.063642029,1.0284,9.995283019,1965
4/2/1965,123.0675327,9.652973175,6.965041637,101.3109098,0.23755942,1.1564,9.945754717,1965
4/9/1965,126.2349737,9.550282796,6.858582973,123.0675327,0,1.3769,9.896226415,1965
4/16/1965,105.7202807,9.407370567,6.717087746,126.2349737,0,1.3868,9.846698113,1965
4/23/1965,122.3839592,9.254420598,6.58550024,105.7202807,0.154297826,1.4263,9.797169811,1965
4/30/1965,125.7311324,9.110849063,6.47313261,122.3839592,0.229456159,1.0861,9.747641509,1965
5/7/1965,125.023983,9.01530234,6.426576614,125.7311324,0,1.7269,9.698113208,1965
5/14/1965,125.4718456,8.854647319,6.290829659,125.023983,0.445764493,1.6674,9.648584906,1965
5/21/1965,125.5661324,8.72155571,6.170376301,125.4718456,0.002546377,1.7417,9.599056604,1965
5/28/1965,125.9202564,8.572774251,6.037374973,125.5661324,0.005171014,1.6342,9.549528302,1965
6/4/1965,125.913536,8.437142054,5.889223576,125.9202564,0.755668841,1.686,9.5,1965
6/11/1965,103.8340008,8.395254771,5.805533409,125.913536,2.736052899,1.3799,9.545751634,1965
6/18/1965,103.1259305,8.543778419,6.060423851,103.8340008,2.199768841,1.2536,9.591503268,1965
6/25/1965,113.2381623,8.626457532,6.091643333,103.1259305,1.556457971,1.4144,9.637254902,1965
7/2/1965,69.0177628,8.610139847,6.107592583,113.2381623,0.854347101,1.2844,9.683006536,1965
7/9/1965,116.5381922,8.575283051,6.060310364,69.0177628,0.907777174,1.5422,9.72875817,1965
7/16/1965,61.8048416,8.498616536,5.929450035,116.5381922,2.943588406,1.2875,9.774509804,1965
7/23/1965,7.307208543,8.673281034,5.97294569,61.8048416,2.483445652,1.3908,9.820261438,1965
7/30/1965,0,8.732519468,6.148088455,7.307208543,1.428842029,1.2177,9.866013072,1965
8/6/1965,144.82416,8.7732687,6.269782543,0,2.770922464,1.3064,9.911764706,1965
8/13/1965,24.13736,9.033016205,6.211548805,144.82416,1.922585145,1.2654,9.95751634,1965
8/20/1965,799.3541272,9.174827894,6.210969925,24.13736,1.172947101,1.3483,10.00326797,1965
8/27/1965,133.2256879,9.255863508,6.422606468,799.3541272,0.764659783,1.2854,10.04901961,1965
9/3/1965,0,9.294294993,6.578266621,133.2256879,1.149923913,1.232,10.09477124,1965
9/10/1965,0,9.390853882,6.529589653,0,3.525811594,1.019,10.14052288,1965
9/17/1965,940.4165894,9.731050173,6.802791595,0,0.444902536,1.2223,10.18627451,1965
9/24/1965,1097.152688,9.735782623,6.945916176,940.4165894,0.729989493,1.1392,10.23202614,1965
10/1/1965,1191.194399,9.740079244,7.215513706,1097.152688,2.158091667,0.9432,10.27777778,1965
10/8/1965,1206.868017,9.884720802,7.526697159,1191.194399,1.273948913,1.1057,10.32352941,1965
