index	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
Strcuture	Vero	Okee	Stuart	CPoint	MHaven	LaBell	WPBIA	BGlade	DevGar	FtMyer	Naples	FTL	EverGl	MIA	TTrail	Homest	Flamin
1/1/1965	0.00	0.11	0.11	0.10	0.11	0.11	0.12	0.11	0.11	0.11	0.11	0.11	0.12	0.11	0.11	0.12	0.13
1/2/1965	0.00	0.11	0.11	0.11	0.11	0.12	0.12	0.11	0.11	0.11	0.11	0.12	0.12	0.12	0.12	0.13	0.13
1/3/1965	0.00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.11	0.10	0.11	0.11	0.12
1/4/1965	0.00	0.13	0.13	0.12	0.12	0.12	0.13	0.12	0.12	0.12	0.11	0.12	0.11	0.11	0.11	0.11	0.11
1/5/1965	0.00	0.12	0.12	0.12	0.13	0.13	0.14	0.13	0.12	0.12	0.13	0.13	0.14	0.14	0.13	0.14	0.14
1/6/1965	0.00	0.10	0.10	0.10	0.11	0.11	0.12	0.11	0.11	0.11	0.11	0.11	0.12	0.12	0.11	0.12	0.13
1/7/1965	0.00	0.10	0.11	0.10	0.10	0.10	0.11	0.10	0.10	0.10	0.10	0.10	0.11	0.10	0.10	0.11	0.12
1/8/1965	0.00	0.11	0.12	0.11	0.12	0.12	0.13	0.12	0.12	0.12	0.12	0.12	0.14	0.13	0.13	0.13	0.15
1/9/1965	0.00	0.11	0.12	0.11	0.12	0.12	0.13	0.12	0.12	0.12	0.12	0.13	0.13	0.13	0.13	0.14	0.15
1/10/1965	0.00	0.12	0.12	0.12	0.12	0.12	0.13	0.12	0.12	0.12	0.12	0.13	0.13	0.13	0.13	0.13	0.14
1/11/1965	0.00	0.10	0.10	0.10	0.10	0.10	0.11	0.10	0.10	0.09	0.09	0.10	0.10	0.11	0.10	0.11	0.12
1/12/1965	0.00	0.09	0.09	0.09	0.10	0.10	0.10	0.09	0.09	0.09	0.09	0.09	0.10	0.10	0.10	0.10	0.11
1/13/1965	0.00	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.10	0.10	0.10	0.10	0.10	0.11
1/14/1965	0.00	0.09	0.10	0.09	0.10	0.10	0.10	0.10	0.10	0.09	0.10	0.10	0.11	0.10	0.11	0.11	0.12
1/15/1965	0.00	0.08	0.08	0.08	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.10	0.10	0.10	0.10	0.11
1/16/1965	0.00	0.10	0.10	0.10	0.10	0.10	0.11	0.11	0.10	0.10	0.10	0.11	0.12	0.12	0.12	0.12	0.12
1/17/1965	0.00	0.13	0.12	0.13	0.13	0.13	0.13	0.13	0.13	0.12	0.12	0.14	0.14	0.14	0.14	0.14	0.14
1/18/1965	0.00	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.07	0.08	0.09	0.08	0.09	0.08	0.08
1/19/1965	0.00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.09	0.09	0.09	0.10	0.10	0.10	0.10	0.10	0.11
1/20/1965	0.00	0.10	0.10	0.10	0.11	0.11	0.11	0.10	0.11	0.11	0.12	0.12	0.13	0.13	0.13	0.13	0.14
1/21/1965	0.00	0.11	0.11	0.11	0.12	0.12	0.13	0.12	0.12	0.12	0.12	0.13	0.13	0.13	0.13	0.13	0.13
1/22/1965	0.00	0.13	0.13	0.12	0.13	0.13	0.14	0.13	0.13	0.13	0.13	0.13	0.14	0.13	0.13	0.14	0.14
1/23/1965	0.00	0.13	0.13	0.12	0.13	0.13	0.14	0.13	0.13	0.13	0.12	0.13	0.13	0.13	0.13	0.13	0.14
1/24/1965	0.00	0.12	0.12	0.11	0.12	0.12	0.12	0.11	0.11	0.11	0.11	0.12	0.12	0.12	0.12	0.12	0.12
1/25/1965	0.00	0.11	0.11	0.10	0.10	0.11	0.11	0.10	0.10	0.10	0.09	0.10	0.10	0.10	0.10	0.10	0.10
1/26/1965	0.00	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.12	0.11	0.11	0.12	0.12
1/27/1965	0.00	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.11	0.11	0.11	0.12	0.11	0.11	0.11	0.12
1/28/1965	0.00	0.16	0.16	0.15	0.16	0.16	0.16	0.15	0.16	0.16	0.16	0.15	0.16	0.15	0.15	0.15	0.16
1/29/1965	0.00	0.10	0.10	0.10	0.11	0.11	0.11	0.10	0.11	0.11	0.11	0.11	0.12	0.11	0.12	0.11	0.12
1/30/1965	0.00	0.11	0.11	0.10	0.11	0.11	0.12	0.10	0.11	0.11	0.11	0.11	0.12	0.11	0.11	0.11	0.12
1/31/1965	0.00	0.16	0.16	0.15	0.15	0.15	0.17	0.15	0.15	0.14	0.14	0.15	0.15	0.15	0.15	0.15	0.15
2/1/1965	0.00	0.11	0.11	0.11	0.11	0.12	0.12	0.11	0.11	0.11	0.11	0.12	0.13	0.12	0.13	0.13	0.13
2/2/1965	0.00	0.12	0.12	0.12	0.12	0.12	0.14	0.12	0.12	0.12	0.12	0.13	0.13	0.13	0.13	0.13	0.13
2/3/1965	0.00	0.12	0.11	0.11	0.12	0.12	0.11	0.11	0.11	0.11	0.10	0.11	0.11	0.11	0.11	0.11	0.11
2/4/1965	0.00	0.11	0.10	0.11	0.12	0.12	0.11	0.11	0.11	0.11	0.11	0.11	0.13	0.12	0.12	0.13	0.13
2/5/1965	0.00	0.12	0.11	0.11	0.12	0.12	0.12	0.11	0.12	0.11	0.11	0.11	0.12	0.12	0.12	0.12	0.13
2/6/1965	0.00	0.11	0.11	0.12	0.12	0.13	0.12	0.12	0.12	0.12	0.11	0.12	0.13	0.12	0.12	0.13	0.13
2/7/1965	0.00	0.11	0.11	0.11	0.12	0.12	0.11	0.11	0.11	0.11	0.10	0.11	0.11	0.11	0.11	0.12	0.12
2/8/1965	0.00	0.09	0.09	0.09	0.10	0.10	0.09	0.09	0.10	0.10	0.09	0.09	0.10	0.09	0.10	0.09	0.10
2/9/1965	0.00	0.13	0.12	0.12	0.13	0.13	0.13	0.13	0.13	0.13	0.12	0.12	0.13	0.12	0.12	0.12	0.12
2/10/1965	0.00	0.14	0.14	0.13	0.14	0.14	0.15	0.14	0.14	0.14	0.12	0.13	0.13	0.13	0.13	0.13	0.13
2/11/1965	0.00	0.14	0.13	0.13	0.14	0.15	0.14	0.14	0.14	0.14	0.13	0.13	0.14	0.13	0.14	0.14	0.14
2/12/1965	0.00	0.16	0.15	0.15	0.16	0.16	0.17	0.16	0.16	0.15	0.14	0.15	0.16	0.16	0.16	0.16	0.16
2/13/1965	0.00	0.15	0.15	0.15	0.15	0.15	0.17	0.16	0.15	0.14	0.14	0.15	0.15	0.15	0.15	0.15	0.15
